学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩
杨玉兰,金融学,4,男,64,61,60,1,1,1,100.0,72,87,78.25,92,87.87
钱玉,金融学,3,男,63,64,94,0,1,1,66.67,81,74,74.18,63,66.35
刘秀芳,英语,1,女,64,60,65,1,1,1,100.0,81,89,81.4,73,75.52
郝桂珍,金融学,2,男,69,66,96,1,1,1,100.0,97,82,87.85,77,80.26
张桂珍,英语,4,男,63,87,93,0,1,1,66.67,96,95,85.38,95,92.11
王莉,计算机科学与技术,2,女,79,77,66,1,1,1,100.0,72,99,84.95,66,71.68
韩琳,会计学,4,女,77,61,96,1,1,1,100.0,77,79,82.4,67,71.62
王慧,英语,2,女,91,61,93,0,1,1,66.67,85,70,76.58,97,90.87
李彬,英语,4,女,95,93,82,1,1,1,100.0,93,84,91.25,63,71.47
秦柳,英语,2,男,91,69,97,1,1,1,100.0,79,79,85.2,91,89.26
郭芳,计算机科学与技术,2,女,86,86,100,1,1,1,100.0,99,85,93.2,100,97.96
缪桂芝,会计学,1,男,60,69,65,1,1,0,66.67,79,88,74.48,85,81.84
张桂珍,计算机科学与技术,3,男,64,88,80,1,1,1,100.0,70,86,82.2,90,87.66
武建,计算机科学与技术,1,男,70,94,95,1,1,1,100.0,96,73,88.15,74,78.24
张云,英语,1,男,80,89,76,1,1,1,100.0,98,92,92.0,77,81.5
程帆,计算机科学与技术,2,女,87,66,98,1,1,1,100.0,83,87,87.6,61,68.98
卢梅,电子信息工程,4,女,92,86,60,1,0,1,66.67,89,91,82.13,84,83.44
张秀云,英语,4,男,80,70,86,1,1,1,100.0,85,88,86.85,76,79.26
裴淑珍,英语,3,男,86,68,62,1,1,1,100.0,72,100,84.6,96,92.58
刘娟,英语,3,女,86,87,74,1,1,0,66.67,87,92,82.78,100,94.83
陈桂花,会计学,1,女,88,64,78,1,0,1,66.67,79,91,78.83,90,86.65
李敏,计算机科学与技术,1,男,97,83,81,1,1,1,100.0,100,84,92.1,95,94.13
洪军,电子信息工程,3,女,94,68,86,1,1,0,66.67,77,88,79.38,81,80.51
魏淑珍,金融学,2,女,94,93,68,1,1,1,100.0,75,92,87.25,66,72.38
刘博,会计学,2,女,96,82,83,1,1,1,100.0,96,85,91.35,74,79.2
耿明,会计学,4,女,73,75,96,1,1,1,100.0,96,90,90.9,93,92.37
马伟,电子信息工程,3,女,67,65,91,1,1,0,66.67,86,71,74.88,80,78.46
张红霞,英语,1,女,63,77,66,1,1,1,100.0,76,71,77.35,60,65.2
张冬梅,电子信息工程,4,女,71,64,65,1,1,1,100.0,96,87,85.75,84,84.52
陈欣,电子信息工程,4,男,74,86,62,1,1,1,100.0,99,75,85.7,64,70.51
李桂荣,计算机科学与技术,4,男,95,83,98,1,1,1,100.0,100,73,90.85,65,72.76
李丹丹,金融学,4,女,95,98,70,1,1,1,100.0,71,81,84.3,82,82.69
杨斌,电子信息工程,1,女,94,93,69,1,1,1,100.0,90,99,92.85,94,93.66
陈飞,金融学,4,女,70,91,95,1,0,1,66.67,88,79,80.68,71,73.9
詹欢,会计学,3,男,94,74,93,1,1,1,100.0,78,99,90.35,91,90.8
李娟,会计学,1,女,100,84,95,1,1,1,100.0,95,94,95.15,92,92.94
唐英,会计学,4,男,69,88,90,1,1,1,100.0,85,83,86.7,83,84.11
刘明,电子信息工程,3,男,83,60,62,1,0,1,66.67,75,82,73.08,99,91.22
张文,计算机科学与技术,1,女,73,100,100,1,1,1,100.0,73,83,86.3,87,86.79
罗桂花,英语,2,女,62,64,98,1,1,1,100.0,99,75,85.9,84,84.57
涂兰英,计算机科学与技术,2,男,65,63,80,1,0,1,66.67,79,82,74.38,80,78.31
朱玉华,金融学,3,女,88,76,71,1,1,1,100.0,79,89,85.5,81,82.35
陈桂珍,计算机科学与技术,4,女,73,97,66,0,1,1,66.67,77,70,73.68,75,74.6
成华,金融学,4,男,88,95,60,1,1,1,100.0,91,72,85.05,62,68.91
袁丽丽,电子信息工程,4,男,77,72,81,1,0,1,66.67,85,92,80.58,98,92.77
张亮,会计学,2,男,89,61,97,1,1,1,100.0,78,100,89.2,90,89.76
胡秀梅,金融学,2,女,95,71,70,1,1,1,100.0,83,91,87.1,98,94.73
刘明,电子信息工程,1,男,69,99,93,1,1,1,100.0,96,96,94.1,100,98.23
张洋,英语,3,男,78,90,91,1,1,1,100.0,79,77,84.9,86,85.67
陈帆,电子信息工程,4,男,71,81,90,1,1,1,100.0,72,96,86.2,73,76.96
霍雪梅,电子信息工程,4,女,66,91,72,1,1,1,100.0,74,70,78.9,62,67.07
姜鑫,会计学,1,女,95,91,99,1,1,1,100.0,92,83,92.25,75,80.18
许静,金融学,3,女,97,64,61,1,1,1,100.0,94,75,84.45,61,68.04
梁莉,金融学,3,女,86,81,90,1,1,1,100.0,75,70,81.95,96,91.78
陈建,计算机科学与技术,4,女,88,75,75,0,0,1,33.33,70,92,70.97,91,84.99
杨明,计算机科学与技术,2,男,78,92,82,1,1,1,100.0,94,82,89.2,94,92.56
黄敏,计算机科学与技术,3,女,72,86,71,1,1,1,100.0,97,75,85.9,74,77.57
谌建军,英语,4,女,72,76,94,1,1,1,100.0,82,72,82.7,78,79.41
李宇,英语,4,男,72,91,77,0,1,1,66.67,93,98,85.08,89,87.82
刘秀兰,金融学,3,女,77,61,94,1,1,1,100.0,88,97,89.45,77,80.74
陈平,电子信息工程,2,女,98,85,64,1,1,1,100.0,77,75,82.7,87,85.71
钟利,会计学,2,男,82,81,71,1,1,1,100.0,98,97,92.15,98,96.24
孙亮,金融学,3,男,66,80,84,1,1,1,100.0,78,81,82.75,91,88.52
温玉兰,电子信息工程,2,男,89,69,82,1,1,1,100.0,76,100,88.0,76,79.6
王凯,英语,2,男,67,80,84,1,1,1,100.0,89,96,89.35,73,77.9
潘玲,会计学,2,女,70,68,61,1,1,1,100.0,75,99,83.4,65,70.52
吴桂香,电子信息工程,2,女,93,72,71,1,1,1,100.0,87,97,89.6,75,79.38
郑秀英,电子信息工程,1,女,76,76,83,1,1,1,100.0,74,90,84.5,91,89.05
何杨,会计学,3,男,63,69,79,0,1,1,66.67,94,72,75.93,87,83.68
周军,会计学,3,女,90,99,84,1,1,1,100.0,83,74,86.55,74,77.76
陈俊,会计学,1,女,83,90,83,1,1,1,100.0,81,83,86.6,98,94.58
王桂芝,电子信息工程,1,男,66,81,69,1,1,1,100.0,95,75,84.1,82,82.63
蓝玉梅,电子信息工程,1,女,92,96,100,0,1,1,66.67,92,90,87.63,95,92.79
张小红,会计学,2,男,86,100,89,0,1,1,66.67,79,94,84.08,99,94.52
骆晨,会计学,2,女,98,89,89,1,0,1,66.67,76,70,77.43,71,72.93
黄淑英,电子信息工程,1,男,98,77,96,1,1,1,100.0,71,84,85.85,60,67.76
李红,英语,1,女,81,87,81,1,1,1,100.0,89,70,84.65,77,79.3
全英,计算机科学与技术,2,男,88,86,83,0,1,0,33.33,93,71,73.37,97,89.91
裴岩,会计学,4,女,86,77,64,1,1,1,100.0,92,91,88.45,80,82.54
贾玉梅,会计学,4,女,91,90,62,1,1,1,100.0,79,88,86.05,85,85.32
吴宁,电子信息工程,2,男,93,80,92,1,0,1,66.67,78,98,83.83,72,75.55
程慧,金融学,2,男,93,84,66,1,1,1,100.0,96,100,93.3,87,88.89
马琴,会计学,3,男,65,65,80,1,1,1,100.0,76,94,83.5,69,73.35
魏坤,会计学,3,男,69,72,74,1,0,1,66.67,78,79,74.08,75,74.72
郭秀兰,计算机科学与技术,3,男,87,60,65,1,1,1,100.0,81,84,82.45,96,91.93
王志强,会计学,2,男,68,70,77,1,1,1,100.0,81,92,84.75,78,80.02
宋伟,计算机科学与技术,1,男,73,90,80,1,1,1,100.0,95,96,92.05,62,71.02
刘岩,会计学,3,男,68,84,95,0,1,1,66.67,97,97,86.53,69,74.26
赵丽娟,会计学,4,女,87,75,63,1,1,1,100.0,88,92,87.5,95,92.75
梁晨,金融学,4,女,79,71,66,1,1,1,100.0,94,86,86.6,78,80.58
荆桂英,电子信息工程,3,女,71,68,89,1,1,1,100.0,76,74,80.3,68,71.69
陈晨,金融学,1,男,95,92,69,1,1,1,100.0,77,73,83.1,93,90.03
陈飞,金融学,3,男,88,99,95,1,1,1,100.0,78,94,91.2,85,86.86
李岩,金融学,4,女,65,70,96,1,1,1,100.0,82,99,88.35,67,73.4
杨颖,电子信息工程,4,女,95,99,84,1,1,1,100.0,96,79,91.55,98,96.06
胡琳,电子信息工程,2,女,86,84,64,1,0,1,66.67,76,92,78.73,60,65.62
孙秀珍,会计学,2,男,81,62,93,1,1,1,100.0,96,86,89.1,62,70.13
齐静,计算机科学与技术,4,女,92,90,80,1,1,1,100.0,100,74,89.7,87,87.81
吴勇,英语,1,女,60,65,73,1,1,0,66.67,98,81,77.88,89,85.66
陈利,会计学,3,男,83,93,82,1,1,1,100.0,74,92,87.3,92,90.59
郑雪,会计学,3,女,85,85,68,1,1,1,100.0,70,80,81.3,62,67.79
雷云,会计学,4,男,90,87,87,1,1,1,100.0,92,96,93.4,95,94.52
刘桂香,会计学,4,女,64,70,81,1,1,1,100.0,73,93,83.0,70,73.9
魏建国,金融学,1,女,84,93,80,1,1,1,100.0,77,84,85.95,87,86.68
卢燕,计算机科学与技术,3,女,96,67,84,1,1,1,100.0,80,97,88.95,85,86.18
娄晨,金融学,3,女,92,96,99,1,1,1,100.0,71,87,88.2,68,74.06
欧娜,英语,3,女,67,84,97,0,1,1,66.67,91,85,82.13,96,91.84
杨娜,金融学,2,女,70,92,83,1,1,1,100.0,85,77,85.0,62,68.9
沈伟,电子信息工程,1,男,74,95,91,1,1,1,100.0,85,100,92.25,97,95.57
杨秀芳,电子信息工程,3,男,91,86,61,1,1,1,100.0,77,80,83.05,97,92.82
李建华,金融学,2,女,83,96,60,1,1,1,100.0,79,76,82.65,84,83.6
李瑜,英语,1,女,84,60,68,1,1,1,100.0,75,92,82.95,83,82.98
鲁伟,电子信息工程,4,男,61,60,78,1,1,1,100.0,74,94,81.9,79,79.87
张梅,金融学,1,女,67,78,78,1,1,1,100.0,92,84,86.3,72,76.29
白建,金融学,2,男,96,76,82,0,1,1,66.67,84,88,81.73,96,91.72
贾帅,计算机科学与技术,2,女,89,63,99,1,1,1,100.0,73,98,87.85,78,80.95
陈兰英,计算机科学与技术,2,男,74,86,60,1,1,1,100.0,76,71,78.75,86,83.82
王斌,英语,3,女,82,87,79,1,1,1,100.0,95,71,86.3,82,83.29
梁婷婷,电子信息工程,1,男,77,70,60,1,0,1,66.67,84,71,72.78,93,86.93
刘龙,金融学,1,男,64,93,98,1,1,1,100.0,75,85,85.5,86,85.85
刘桂荣,英语,2,女,62,83,78,1,1,0,66.67,72,97,77.88,93,88.46
熊亮,金融学,2,男,83,100,79,1,1,1,100.0,81,92,89.45,73,77.94
王桂芝,英语,2,男,72,80,100,1,1,1,100.0,75,76,82.95,74,76.68
孔春梅,金融学,2,男,72,68,78,1,1,1,100.0,95,99,90.3,69,75.39
石桂珍,会计学,2,男,87,92,87,1,1,1,100.0,71,70,81.85,93,89.65
彭淑英,会计学,1,女,89,70,61,1,1,1,100.0,77,75,80.0,98,92.6
吴霞,计算机科学与技术,2,男,76,66,73,1,1,1,100.0,85,99,87.5,98,94.85
蔡红梅,计算机科学与技术,3,男,78,94,93,1,1,1,100.0,93,83,90.5,84,85.95
李健,英语,1,男,86,69,100,1,1,1,100.0,83,92,89.25,100,96.78
刘凯,会计学,4,男,67,63,84,1,1,1,100.0,90,99,88.65,99,95.9
王成,电子信息工程,3,男,86,60,60,1,1,0,66.67,86,100,80.43,86,84.33
周晶,计算机科学与技术,4,男,63,72,91,1,1,1,100.0,96,70,84.1,67,72.13
张军,英语,1,女,70,80,93,0,1,0,33.33,80,97,75.22,91,86.27
汤岩,电子信息工程,4,男,73,73,62,1,1,1,100.0,94,91,87.05,98,94.71
郑波,会计学,1,女,84,72,96,0,0,1,33.33,93,77,74.37,87,83.21
谭婷,英语,3,男,81,82,62,1,1,1,100.0,91,70,82.75,86,85.02
萧宁,会计学,1,男,94,85,67,1,1,1,100.0,95,78,87.85,94,92.16
方英,会计学,4,男,90,85,66,1,1,1,100.0,70,84,82.6,93,89.88
田春梅,计算机科学与技术,2,女,72,71,88,1,1,1,100.0,94,85,87.85,97,94.26
傅东,计算机科学与技术,3,女,76,63,79,1,1,1,100.0,96,90,88.3,88,88.09
戴桂英,电子信息工程,4,男,97,67,63,0,1,0,33.33,77,94,72.12,86,81.84
何畅,计算机科学与技术,1,女,82,97,68,1,1,1,100.0,72,86,84.2,95,91.76
胡鹏,计算机科学与技术,3,男,62,92,66,1,1,1,100.0,87,85,85.0,62,68.9
丁瑞,金融学,1,男,75,84,95,1,1,1,100.0,73,85,84.9,99,94.77
胡强,会计学,2,女,100,79,83,1,1,1,100.0,91,79,88.7,82,84.01
侯洁,金融学,3,女,81,81,93,1,1,1,100.0,95,80,89.25,60,68.78
陈旭,英语,4,女,98,95,88,1,1,1,100.0,94,86,93.1,62,71.33
冯龙,电子信息工程,2,男,99,67,65,1,1,0,66.67,94,95,83.68,76,78.3
钱桂珍,金融学,3,女,70,87,95,1,1,1,100.0,84,86,87.7,88,87.91
李磊,英语,3,女,64,96,79,1,1,1,100.0,81,80,84.15,100,95.24
蒋霞,计算机科学与技术,3,男,74,74,68,1,1,0,66.67,97,83,79.93,73,75.08
郭瑜,金融学,2,女,80,85,93,1,1,1,100.0,78,82,85.8,95,92.24
王浩,计算机科学与技术,2,男,78,85,66,1,1,1,100.0,71,72,78.65,86,83.8
莫秀荣,电子信息工程,4,男,89,82,74,1,1,1,100.0,81,70,82.25,91,88.38
刘英,计算机科学与技术,2,男,96,96,60,1,1,0,66.67,100,79,83.28,72,75.38
陈鹏,电子信息工程,1,男,78,80,80,1,0,1,66.67,80,91,79.88,65,69.46
田旭,电子信息工程,2,女,81,65,63,1,1,0,66.67,90,84,77.73,86,83.52
焦坤,会计学,3,男,99,69,81,1,1,1,100.0,95,84,89.65,88,88.49
冯兰英,计算机科学与技术,2,女,78,78,74,1,1,1,100.0,87,77,84.0,100,95.2
吴丽娟,英语,3,男,90,62,86,1,0,0,33.33,71,88,70.22,73,72.17
李岩,计算机科学与技术,3,男,75,87,68,1,1,1,100.0,99,98,92.25,90,90.68
张兰英,金融学,2,男,90,70,97,1,1,1,100.0,82,72,84.2,93,90.36
陈建军,会计学,4,男,69,97,81,1,1,1,100.0,79,89,86.7,72,76.41
郭洁,电子信息工程,4,女,60,84,93,1,1,1,100.0,100,88,90.7,79,82.51
刘玉梅,计算机科学与技术,1,男,77,87,62,1,1,1,100.0,83,81,83.6,68,72.68
傅倩,计算机科学与技术,4,男,67,73,85,1,0,1,66.67,95,87,81.33,79,79.7
靳秀芳,英语,4,男,87,66,78,0,1,1,66.67,74,74,73.43,72,72.43
贾帅,电子信息工程,2,男,65,61,82,1,1,1,100.0,71,95,82.3,83,82.79
林淑华,计算机科学与技术,2,女,70,64,93,1,1,1,100.0,70,76,79.2,79,79.06
赵瑜,英语,2,男,70,68,73,1,0,1,66.67,79,73,72.43,65,67.23
邹柳,英语,3,男,75,74,81,1,1,0,66.67,93,100,84.58,97,93.27
曹冬梅,金融学,1,女,81,83,92,1,1,1,100.0,86,72,85.1,70,74.53
李淑珍,电子信息工程,3,男,81,97,75,1,1,1,100.0,99,95,93.8,86,88.34
王宁,计算机科学与技术,4,男,93,79,93,0,1,1,66.67,78,86,80.83,98,92.85
龚坤,英语,2,女,67,83,68,1,1,1,100.0,78,72,79.3,62,67.19
孙琳,电子信息工程,1,男,74,61,93,1,1,1,100.0,82,77,82.55,72,75.16
常峰,英语,4,男,75,67,64,1,1,1,100.0,86,100,87.1,60,68.13
盛霞,计算机科学与技术,1,男,76,64,70,1,1,1,100.0,90,97,87.75,80,82.32
张霞,电子信息工程,3,女,96,73,85,1,1,1,100.0,84,90,88.9,74,78.47
马洁,金融学,3,女,64,95,65,1,1,1,100.0,100,86,88.9,97,94.57
陈桂荣,英语,1,男,70,96,91,1,1,1,100.0,99,99,95.2,97,96.46
卓小红,金融学,4,男,77,84,78,1,1,1,100.0,94,71,85.15,62,68.94
吴帆,电子信息工程,2,女,82,71,100,1,1,1,100.0,99,85,91.3,64,72.19
兰桂兰,会计学,2,女,93,76,97,1,1,0,66.67,94,75,82.18,90,87.65
祝建,电子信息工程,4,女,97,86,98,1,1,1,100.0,83,80,88.85,66,72.85
王小红,英语,1,女,99,68,88,1,1,1,100.0,80,70,83.0,66,71.1
陈晶,会计学,2,男,97,83,64,1,1,1,100.0,84,100,90.4,94,92.92
何欢,英语,4,男,67,87,77,1,1,1,100.0,73,90,83.85,79,80.46
熊淑华,金融学,3,男,81,73,97,1,1,1,100.0,82,89,87.85,64,71.16
彭想,计算机科学与技术,4,女,71,61,60,1,1,1,100.0,98,98,88.2,65,71.96
刘颖,电子信息工程,1,男,94,81,85,1,1,1,100.0,78,86,87.0,81,82.8
钟玉梅,计算机科学与技术,3,男,100,97,76,0,1,1,66.67,95,74,82.88,99,94.16
刘亮,电子信息工程,3,女,68,70,99,1,1,1,100.0,89,74,84.45,96,92.54
刘金凤,金融学,1,女,95,85,72,1,1,1,100.0,86,97,90.95,61,69.98
陆楠,会计学,3,男,79,92,90,1,1,1,100.0,81,83,87.1,84,84.93
范杨,金融学,2,男,100,98,78,1,1,1,100.0,96,71,89.35,72,77.2
龙玲,电子信息工程,2,男,72,65,66,1,1,1,100.0,81,78,80.05,87,84.92
陈亮,英语,2,男,97,60,100,1,1,1,100.0,92,82,89.2,100,96.76
邓博,会计学,3,男,79,73,96,1,1,1,100.0,91,83,88.3,100,96.49
李波,会计学,1,女,62,75,72,1,1,0,66.67,96,95,81.98,60,66.59
袁坤,金融学,2,女,82,82,85,1,1,1,100.0,94,92,91.4,94,93.22
滕冬梅,英语,4,男,70,94,60,0,1,1,66.67,84,91,79.48,78,78.44
曾颖,英语,3,男,66,97,100,1,1,0,66.67,86,84,82.13,81,81.34
何超,会计学,3,男,85,61,77,1,1,1,100.0,94,70,83.3,70,73.99
杨洋,计算机科学与技术,3,男,78,92,93,1,1,1,100.0,90,87,90.55,61,69.86
向艳,金融学,3,男,85,84,79,1,0,1,66.67,82,73,76.88,67,69.96
朱建国,英语,3,男,64,87,71,1,1,1,100.0,77,79,81.2,99,93.66
赖雪梅,英语,2,女,82,95,96,1,1,0,66.67,95,89,86.63,96,93.19
钱秀兰,电子信息工程,4,男,77,67,69,1,1,0,66.67,81,84,75.88,69,71.06
李娜,英语,1,女,64,86,86,1,1,1,100.0,95,87,89.1,74,78.53
蔡伟,会计学,2,女,85,69,93,1,1,1,100.0,77,88,85.95,96,92.98
吴秀梅,会计学,4,男,89,72,94,1,1,1,100.0,70,80,83.0,71,74.6
邢勇,金融学,4,女,77,62,71,1,1,1,100.0,81,92,84.25,61,67.97
李婷,英语,3,女,93,82,93,1,0,1,66.67,79,88,81.88,69,72.86
陈斌,电子信息工程,4,女,94,85,96,1,1,1,100.0,85,93,92.0,98,96.2
孙瑜,计算机科学与技术,2,男,67,88,79,1,1,1,100.0,79,93,86.4,68,73.52
李秀兰,英语,2,男,78,63,80,1,1,1,100.0,93,79,85.1,67,72.43
官利,会计学,4,女,86,79,78,1,1,1,100.0,70,90,84.3,67,72.19
张梅,会计学,4,男,70,81,68,1,1,1,100.0,73,93,83.4,68,72.62
傅雷,金融学,1,女,83,84,92,1,1,1,100.0,90,81,88.65,75,79.1
门洁,英语,1,女,71,81,95,1,1,1,100.0,87,80,86.45,85,85.43
何波,金融学,4,男,63,69,91,1,1,1,100.0,77,99,86.3,85,85.39
王淑英,金融学,3,男,94,99,99,1,1,0,66.67,70,82,80.53,85,83.66
胡桂香,金融学,2,男,96,83,78,1,1,1,100.0,75,74,82.95,91,88.58
王丽华,计算机科学与技术,3,女,70,76,80,1,0,1,66.67,80,74,74.43,80,78.33
尉坤,英语,4,男,88,93,92,1,1,1,100.0,92,77,89.55,78,81.46
刘晨,金融学,2,女,81,88,60,1,1,0,66.67,73,84,75.48,84,81.44
张秀荣,计算机科学与技术,1,女,69,89,94,1,0,1,66.67,77,99,82.53,89,87.06
桂志强,电子信息工程,2,男,85,80,82,1,1,1,100.0,85,76,84.95,78,80.08
杜荣,计算机科学与技术,3,女,88,63,64,1,1,1,100.0,89,73,82.0,82,82.0
张娟,金融学,2,女,76,92,75,1,1,1,100.0,90,86,88.3,91,90.19
陈玉,英语,4,女,72,72,66,1,1,1,100.0,75,94,83.25,95,91.48
陈玉梅,金融学,4,女,98,94,94,1,1,1,100.0,86,92,93.1,76,81.13
刘桂珍,电子信息工程,4,男,68,79,75,1,1,1,100.0,73,75,79.2,77,77.66
王博,计算机科学与技术,2,女,93,70,61,1,1,1,100.0,84,96,87.4,97,94.12
时桂英,计算机科学与技术,3,女,90,86,64,1,1,1,100.0,78,98,88.0,82,83.8
董丽,会计学,1,男,84,63,60,1,1,1,100.0,84,83,82.45,63,68.83
刘雪,英语,4,男,100,94,84,1,1,1,100.0,88,87,91.55,81,84.16
戴丽,会计学,3,女,93,90,91,0,1,1,66.67,92,90,86.23,69,74.17
钟丹,会计学,2,女,98,77,64,1,1,1,100.0,90,71,84.15,92,89.64
贾彬,金融学,3,男,93,98,88,1,1,1,100.0,80,78,87.4,75,78.72
林芳,英语,2,女,69,90,80,1,1,1,100.0,83,71,82.4,99,94.02
王玉华,计算机科学与技术,4,男,69,69,84,1,1,1,100.0,78,85,82.95,87,85.78
欧阳华,英语,1,女,74,93,63,1,1,0,66.67,92,70,76.83,98,91.65
王健,计算机科学与技术,3,女,76,100,79,1,1,1,100.0,70,71,80.75,69,72.52
李丹丹,英语,1,男,76,66,72,1,1,1,100.0,81,97,85.9,84,84.57
滕华,电子信息工程,4,女,66,85,98,1,1,1,100.0,100,75,88.65,77,80.5
蓝强,电子信息工程,4,女,75,96,98,1,1,1,100.0,94,75,89.15,70,75.74
王莹,英语,3,男,75,70,67,0,1,1,66.67,70,75,70.78,67,68.13
蔡俊,金融学,4,女,100,86,96,1,1,1,100.0,71,84,86.95,89,88.38
苏桂香,电子信息工程,4,男,67,69,95,1,1,1,100.0,83,88,85.85,73,76.85
骆龙,英语,3,女,63,92,89,1,1,1,100.0,81,87,86.4,71,75.62
李彬,英语,2,女,96,77,95,1,0,1,66.67,93,94,86.88,84,84.86
汤霞,英语,3,男,68,77,68,0,1,1,66.67,100,70,77.13,85,82.64
黄秀芳,金融学,3,女,79,98,68,1,1,1,100.0,87,94,89.75,65,72.42
李秀珍,英语,1,男,90,61,77,1,1,1,100.0,90,83,86.05,89,88.12
孙玉兰,金融学,4,男,76,97,91,1,1,1,100.0,96,74,88.9,90,89.67
李桂英,电子信息工程,1,男,92,68,91,1,1,1,100.0,84,96,90.1,67,73.93
张秀芳,金融学,3,女,62,77,71,1,1,1,100.0,79,72,78.75,71,73.32
胡玲,计算机科学与技术,2,男,70,78,86,1,1,1,100.0,93,83,87.4,79,81.52
曹晶,金融学,1,男,67,100,64,0,1,1,66.67,91,85,80.43,96,91.33
陈俊,会计学,2,女,60,78,94,0,1,1,66.67,85,97,82.03,83,82.71
黄倩,英语,4,男,64,76,83,1,1,1,100.0,96,74,84.8,91,89.14
杨欣,电子信息工程,2,女,66,93,96,1,1,1,100.0,81,75,84.5,98,93.95
邵云,会计学,1,男,63,100,67,1,1,1,100.0,82,89,85.75,80,81.72
冯建华,金融学,4,女,60,65,82,0,1,1,66.67,99,80,78.78,88,85.23
刘春梅,电子信息工程,1,女,78,60,83,1,1,1,100.0,71,93,83.1,95,91.43
彭桂芝,英语,2,女,72,62,88,1,1,1,100.0,77,70,78.95,73,74.78
王玉英,英语,4,女,67,94,95,1,0,1,66.67,100,100,88.93,74,78.48
乔建华,英语,1,男,90,69,85,1,1,0,66.67,80,73,75.98,91,86.49
盖建国,计算机科学与技术,1,男,67,63,84,1,1,1,100.0,85,94,86.15,85,85.34
徐莉,计算机科学与技术,2,女,63,69,82,1,1,1,100.0,99,88,88.15,64,71.24
魏秀云,英语,1,男,99,60,67,1,1,1,100.0,76,100,86.6,89,88.28
郑勇,英语,1,男,73,91,78,1,1,0,66.67,97,73,80.03,88,85.61
胡丽,金融学,1,男,94,72,81,0,1,1,66.67,87,97,84.03,97,93.11
张勇,电子信息工程,1,女,84,63,90,1,1,0,66.67,83,78,77.28,82,80.58
黄峰,会计学,4,男,78,70,75,1,1,1,100.0,87,100,89.05,81,83.42
魏强,计算机科学与技术,1,女,70,70,82,1,1,1,100.0,86,92,86.7,84,84.81
张桂芝,会计学,1,女,97,79,79,1,1,1,100.0,96,79,89.25,66,72.97
王秀兰,电子信息工程,4,男,87,94,92,1,1,1,100.0,96,99,96.05,91,92.51
高慧,电子信息工程,3,女,64,70,100,1,0,1,66.67,71,86,75.98,69,71.09
齐雪梅,计算机科学与技术,4,女,92,64,60,1,1,1,100.0,100,95,90.35,71,76.8
罗婷,金融学,1,男,61,83,90,1,0,1,66.67,80,84,77.73,89,85.62
陈冬梅,电子信息工程,2,男,87,100,85,1,1,1,100.0,98,97,95.95,93,93.88
余畅,金融学,4,女,69,71,63,1,1,1,100.0,90,95,86.55,60,67.96
王建国,电子信息工程,4,男,95,69,91,1,1,1,100.0,84,81,86.75,91,89.72
樊桂英,英语,1,女,66,77,88,1,1,1,100.0,89,94,88.85,74,78.46
黄秀华,计算机科学与技术,2,男,85,80,83,1,1,1,100.0,87,75,85.3,82,82.99
陈秀梅,电子信息工程,3,女,95,63,98,0,1,1,66.67,81,86,80.68,68,71.8
张华,会计学,2,男,67,65,67,1,0,1,66.67,80,100,78.23,61,66.17
张丹丹,电子信息工程,4,女,67,93,96,1,1,1,100.0,79,79,85.1,60,67.53
韩燕,会计学,4,男,96,74,63,1,1,1,100.0,81,74,82.05,81,81.32
武辉,会计学,1,男,87,87,70,1,0,1,66.67,79,89,79.73,69,72.22
曾秀云,英语,2,男,99,72,84,1,0,1,66.67,96,88,84.83,69,73.75
王秀云,计算机科学与技术,4,女,82,61,86,1,1,1,100.0,78,82,82.9,65,70.37
张凯,会计学,2,女,73,61,87,1,1,1,100.0,90,97,88.85,83,84.76
朱利,英语,4,男,77,84,99,1,1,1,100.0,84,97,91.25,83,85.48
杜飞,金融学,2,女,71,74,62,1,1,1,100.0,85,84,82.95,68,72.48
安凯,金融学,3,女,71,97,71,1,1,1,100.0,100,86,90.4,90,90.12
李峰,英语,3,男,99,72,73,1,1,1,100.0,90,78,86.4,94,91.72
黎琴,计算机科学与技术,2,男,93,76,61,1,0,1,66.67,72,90,76.83,62,66.45
钱丽华,金融学,3,女,69,78,77,1,1,1,100.0,93,81,85.9,93,90.87
梁建华,会计学,2,女,92,82,84,1,1,1,100.0,79,94,89.05,85,86.21
王玉兰,英语,4,女,86,89,92,1,1,1,100.0,78,91,88.95,84,85.48
丁秀华,英语,3,男,68,81,84,1,1,1,100.0,74,90,84.3,97,93.19
朱明,英语,4,女,87,95,88,0,1,1,66.67,98,75,83.58,88,86.67
李云,会计学,1,女,91,68,87,1,1,1,100.0,77,73,82.1,96,91.83
杨超,英语,2,女,94,61,78,1,1,1,100.0,91,83,86.8,69,74.34
廖平,英语,1,男,89,82,90,1,1,0,66.67,72,70,74.93,94,88.28
温淑英,会计学,1,男,61,83,68,1,1,1,100.0,95,89,87.2,80,82.16
黄玉兰,金融学,1,女,71,70,88,1,1,1,100.0,87,81,84.9,91,89.17
董阳,会计学,2,女,88,67,63,1,1,1,100.0,94,92,88.3,82,83.89
王红霞,金融学,1,女,89,69,77,1,1,1,100.0,90,73,84.25,88,86.88
吴娜,英语,2,男,83,90,96,1,1,1,100.0,100,71,89.65,84,85.7
