学生姓名,专业,年级,性别,过程考核1,过程考核2,过程考核3,出勤1,出勤2,出勤3,出勤率,小组作业1,小组作业2,平时成绩,期末考试,综合成绩,学习投入度,成绩稳定性,综合能力
张东,会计学,4,女,86,65,60,1,1,1,100.0,70,90,81.1,61,67.03,85.10,13.80,69.04
张淑珍,计算机科学与技术,3,女,63,93,87,1,1,1,100.0,100,79,89.05,79,82.02,91.15,15.87,83.02
张桂花,金融学,3,女,61,94,62,1,1,1,100.0,83,88,84.45,78,79.94,87.35,18.77,80.58
杨瑜,金融学,4,女,82,94,78,1,1,1,100.0,86,73,85.15,96,92.74,89.25,8.33,91.66
韩博,计算机科学与技术,3,男,90,90,87,1,1,1,100.0,91,92,92.45,79,83.04,94.15,1.73,84.38
吴欢,金融学,3,女,60,75,77,1,1,0,66.67,95,91,81.03,72,74.71,75.77,9.29,75.61
马雪,计算机科学与技术,4,男,77,97,77,1,1,0,66.67,93,85,82.93,96,92.08,78.47,11.55,90.77
段淑华,计算机科学与技术,1,男,100,60,63,1,0,1,66.67,87,80,77.38,82,80.61,74.02,22.28,80.15
陈飞,金融学,1,女,93,65,89,1,1,1,100.0,92,88,89.7,65,72.41,91.70,15.14,74.88
许俊,电子信息工程,1,男,91,92,79,1,1,1,100.0,99,71,88.7,77,80.51,91.70,7.23,81.68
袁彬,英语,3,男,86,85,75,0,1,1,66.67,86,72,77.43,75,75.73,74.97,6.08,75.97
余华,计算机科学与技术,2,男,97,100,95,0,1,1,66.67,88,70,82.03,80,80.61,79.57,2.52,80.81
刘波,英语,1,男,100,63,69,0,1,1,66.67,85,91,80.53,74,75.96,76.27,19.86,76.61
乔辉,金融学,4,女,82,84,88,1,1,1,100.0,88,93,90.65,90,90.20,92.55,3.06,90.26
张兰英,金融学,4,男,90,61,81,1,1,1,100.0,77,93,85.7,79,81.01,88.70,14.84,81.68
屠霞,电子信息工程,4,男,69,62,74,1,0,1,66.67,90,79,76.08,73,73.92,72.52,6.03,74.23
石云,会计学,1,男,60,80,61,1,1,1,100.0,78,87,81.35,81,81.10,84.85,11.27,81.14
周想,计算机科学与技术,1,女,70,83,84,1,1,1,100.0,99,94,91.95,76,80.78,92.65,7.81,82.38
李金凤,金融学,2,女,88,71,87,1,1,0,66.67,77,91,79.93,62,67.38,76.47,9.54,69.17
杨丽华,英语,1,男,100,62,71,1,0,1,66.67,90,98,83.63,79,80.39,78.17,19.86,80.85
甘洁,会计学,1,女,89,70,71,1,0,1,66.67,100,74,79.83,76,77.15,75.77,10.69,77.53
查丹,金融学,3,男,78,82,88,1,1,1,100.0,96,76,87.8,71,76.04,90.60,5.03,77.72
曹志强,计算机科学与技术,1,女,94,61,72,1,1,0,66.67,74,80,74.53,60,64.36,72.47,16.80,65.81
黄瑜,会计学,2,男,96,93,66,1,1,1,100.0,98,74,88.5,71,76.25,91.30,16.52,78
李秀英,电子信息工程,1,男,90,65,76,1,1,1,100.0,84,72,82.1,61,67.33,86.50,12.53,69.44
林冬梅,计算机科学与技术,4,男,96,73,89,0,1,1,66.67,96,98,87.63,76,79.49,81.57,11.79,80.65
李利,会计学,4,男,84,81,79,1,1,1,100.0,74,95,86.65,88,87.60,89.75,2.52,87.46
黄利,会计学,2,女,85,99,76,0,1,1,66.67,94,84,83.83,62,68.55,79.37,11.59,70.73
阎成,计算机科学与技术,2,女,68,81,77,0,1,1,66.67,96,100,84.93,62,68.88,78.67,6.66,71.17
蒋成,计算机科学与技术,4,男,61,78,60,1,1,1,100.0,80,97,84.15,83,83.34,86.45,10.12,83.46
陈阳,电子信息工程,3,男,62,85,75,1,1,1,100.0,81,83,83.2,71,74.66,86.80,11.53,75.88
黄洁,计算机科学与技术,1,女,68,80,94,1,1,1,100.0,72,80,82.2,87,85.56,87,13.01,85.08
骆敏,会计学,2,男,94,93,68,1,1,1,100.0,87,72,85.25,94,91.38,89.35,14.73,90.50
张鑫,计算机科学与技术,4,男,65,70,85,1,1,1,100.0,93,77,84.5,95,91.85,87.50,10.41,90.80
杜金凤,计算机科学与技术,1,女,66,76,82,1,1,1,100.0,95,83,86.9,91,89.77,89.10,8.08,89.36
阎红,会计学,1,男,82,73,94,1,1,1,100.0,73,81,83.4,64,69.82,88,10.54,71.76
曾杨,会计学,2,女,63,70,61,1,1,1,100.0,77,90,81.15,69,72.64,84.45,4.73,73.86
杨玉兰,电子信息工程,4,男,75,85,97,1,1,1,100.0,93,88,90.95,80,83.28,92.85,11.02,84.38
曾红霞,会计学,4,女,99,97,72,1,1,1,100.0,95,83,91.3,89,89.69,93.50,15.04,89.92
黄晨,电子信息工程,4,女,60,92,83,1,1,1,100.0,85,96,88.75,89,88.92,90.65,16.50,88.90
沈梅,金融学,2,男,60,88,92,1,0,1,66.67,84,73,76.58,98,91.57,74.22,17.44,89.43
李萍,金融学,4,男,62,79,99,1,0,1,66.67,90,71,77.58,82,80.67,74.82,18.52,80.23
刘建国,英语,4,女,62,91,62,1,1,1,100.0,76,91,83.25,67,71.88,86.55,16.74,73.50
高桂兰,英语,1,女,77,95,85,1,1,0,66.67,100,86,85.53,83,83.76,80.27,9.02,84.01
苟婷婷,英语,3,女,76,92,62,1,1,1,100.0,89,90,87.75,96,93.52,89.85,15.01,92.70
韩坤,电子信息工程,4,女,67,97,61,1,0,1,66.67,74,95,78.08,69,71.72,74.52,19.29,72.63
徐平,电子信息工程,3,男,81,77,66,1,1,1,100.0,88,96,88.4,88,88.12,90,7.77,88.16
郭霞,计算机科学与技术,1,女,75,98,74,1,1,1,100.0,100,82,90.2,95,93.56,92,13.58,93.08
郑丽娟,金融学,4,男,75,77,64,1,0,1,66.67,78,100,79.43,84,82.63,74.97,7,82.17
梁凤兰,会计学,2,男,72,77,87,1,1,1,100.0,95,77,86.6,63,70.08,89.40,7.64,72.44
周琴,会计学,4,女,96,75,64,1,1,1,100.0,97,89,90.0,85,86.50,91.40,16.26,87
覃丹,英语,2,女,93,75,90,0,1,1,66.67,72,81,77.38,89,85.51,75.42,9.64,84.35
吴柳,会计学,4,女,65,66,84,1,1,1,100.0,84,95,86.25,89,88.18,88.35,10.69,87.90
王鑫,计算机科学与技术,3,女,65,81,75,1,1,1,100.0,70,95,83.35,67,71.90,86.85,8.08,73.54
鞠琳,电子信息工程,3,女,60,87,69,1,1,1,100.0,70,78,78.6,62,66.98,83.80,13.75,68.64
邱超,电子信息工程,1,女,95,60,62,1,1,1,100.0,76,90,83.2,81,81.66,86.60,19.66,81.88
王建华,电子信息工程,3,女,66,97,61,1,1,1,100.0,82,88,84.9,100,95.47,87.90,19.50,93.96
雷洋,电子信息工程,1,男,87,96,88,1,1,1,100.0,82,98,92.1,87,88.53,94.10,4.93,89.04
杨志强,会计学,1,男,84,100,85,1,0,1,66.67,92,78,82.73,61,67.52,79.07,8.96,69.69
熊雪梅,计算机科学与技术,4,女,75,74,83,1,1,1,100.0,99,84,88.95,95,93.18,90.65,4.93,92.58
赵龙,电子信息工程,1,男,85,77,67,1,1,1,100.0,86,98,88.9,86,86.87,90.50,9.02,87.16
梅丹,会计学,4,女,65,76,78,1,1,1,100.0,79,93,84.9,91,89.17,87.70,7,88.56
王莹,会计学,4,女,61,93,62,1,1,1,100.0,83,83,83.1,66,71.13,86.50,18.19,72.84
刘桂芳,会计学,1,女,88,86,91,1,1,1,100.0,81,98,91.25,82,84.78,93.35,2.52,85.70
石玉英,金融学,4,男,92,95,61,1,1,1,100.0,81,92,88.05,78,81.01,90.75,18.82,82.02
朱桂珍,会计学,2,女,97,83,97,1,1,1,100.0,81,98,92.45,62,71.13,94.55,8.08,74.18
李丽丽,英语,4,女,76,83,99,0,1,1,66.67,75,85,79.13,95,90.24,76.47,11.79,88.65
郭燕,金融学,4,男,89,82,61,1,1,1,100.0,96,84,88.2,82,83.86,90.20,14.57,84.48
萧婷,会计学,4,男,81,80,80,0,1,1,66.67,91,73,78.43,74,75.33,75.37,0.58,75.77
刘亮,英语,4,男,88,99,71,1,1,0,66.67,94,88,84.63,93,90.49,79.77,14.11,89.65
张华,计算机科学与技术,2,男,71,100,82,1,1,1,100.0,97,99,94.3,62,71.69,94.70,14.64,74.92
郭志强,计算机科学与技术,3,男,78,95,65,1,1,1,100.0,84,75,83.55,85,84.56,87.65,15.04,84.42
范玉兰,英语,3,男,64,95,78,1,1,1,100.0,97,70,85.45,87,86.54,88.75,15.52,86.38
李东,计算机科学与技术,3,男,85,74,92,1,1,1,100.0,86,82,87.1,88,87.73,90.30,9.07,87.64
俞敏,会计学,1,女,74,78,60,1,1,1,100.0,83,91,84.7,65,70.91,87.30,9.45,72.88
贺红,计算机科学与技术,3,男,76,88,93,1,1,1,100.0,80,100,90.7,98,95.81,92.70,8.74,95.08
刘春梅,金融学,2,女,96,93,73,1,0,1,66.67,73,92,80.78,87,85.13,77.62,12.50,84.51
丁旭,计算机科学与技术,1,男,67,93,76,1,1,1,100.0,76,84,83.6,70,74.08,87.60,13.20,75.44
蔡娟,英语,4,女,90,77,70,1,1,1,100.0,89,80,85.95,84,84.58,89.05,10.15,84.78
戴秀华,金融学,1,女,73,79,93,1,0,1,66.67,89,96,84.08,79,80.52,78.92,10.26,81.03
杨婷婷,计算机科学与技术,2,女,98,89,74,1,1,1,100.0,86,88,89.6,79,82.18,92.20,12.12,83.24
黄淑华,会计学,3,男,86,76,77,1,1,1,100.0,92,98,91.4,81,84.12,92.40,5.51,85.16
冯凤英,金融学,3,男,61,64,96,1,1,1,100.0,98,89,88.85,63,70.76,90.15,19.40,73.34
田超,计算机科学与技术,4,女,64,88,93,0,1,1,66.67,94,76,80.33,65,69.60,76.67,15.50,71.13
祝桂芝,计算机科学与技术,4,女,99,78,80,1,1,1,100.0,84,75,85.45,95,92.14,89.55,11.59,91.18
蒋秀芳,电子信息工程,4,男,88,100,86,1,1,1,100.0,77,76,85.65,83,83.79,90.35,7.57,84.06
许丹,金融学,1,女,93,100,65,1,0,1,66.67,89,80,81.38,75,76.91,77.82,18.52,77.55
徐小红,会计学,3,女,94,61,76,1,1,1,100.0,91,73,84.1,65,70.73,87.70,16.52,72.64
卞洁,会计学,3,男,61,83,62,1,1,1,100.0,92,73,81.85,98,93.15,85.35,12.42,91.54
高玉梅,英语,1,男,76,70,72,0,1,1,66.67,93,94,81.88,96,91.76,76.52,3.06,90.35
孙俊,电子信息工程,4,男,86,82,65,1,1,1,100.0,89,92,88.55,72,76.96,90.45,11.15,78.62
高峰,电子信息工程,3,男,67,67,72,1,1,1,100.0,97,94,88.35,84,85.30,89.25,2.89,85.74
崔晶,电子信息工程,3,男,63,90,92,1,1,1,100.0,73,95,86.5,78,80.55,89.70,16.20,81.40
谢小红,会计学,2,女,90,97,64,1,1,0,66.67,82,78,78.43,87,84.43,75.77,17.39,83.57
罗丽娟,电子信息工程,4,女,73,79,78,1,1,1,100.0,95,70,84.25,84,84.07,87.75,3.21,84.10
罗秀荣,电子信息工程,3,男,64,90,81,1,1,1,100.0,84,97,88.75,92,91.02,90.65,13.20,90.70
侯颖,会计学,1,男,91,70,60,1,1,1,100.0,98,96,90.6,98,95.78,91.20,15.82,95.04
贾利,电子信息工程,3,女,60,62,69,0,1,1,66.67,70,72,67.93,71,70.08,67.07,4.73,69.77
吴小红,会计学,1,女,89,73,83,0,1,1,66.67,83,99,83.33,98,93.60,78.47,8.08,92.13
潘红,计算机科学与技术,2,女,75,93,97,1,1,1,100.0,72,79,84.25,72,75.68,89.15,11.72,76.90
陈芳,计算机科学与技术,3,男,71,69,70,1,1,1,100.0,84,96,86.0,72,76.20,88,1,77.60
吉波,金融学,4,男,80,69,87,1,1,0,66.67,89,94,82.68,82,82.20,77.72,9.07,82.27
伍莉,金融学,2,女,84,87,62,1,1,1,100.0,77,76,81.55,75,76.96,86.25,13.65,77.62
陶秀华,会计学,1,女,64,73,99,1,1,1,100.0,85,91,87.6,63,70.38,90,18.18,72.84
沈丽娟,金融学,4,女,84,76,65,1,1,1,100.0,96,83,87.25,75,78.68,89.35,9.54,79.90
李玉,计算机科学与技术,2,女,81,78,80,1,1,0,66.67,94,74,79.23,72,74.17,75.77,1.53,74.89
黄婷,英语,2,男,94,81,63,1,1,1,100.0,74,98,86.8,95,92.54,89.60,15.57,91.72
梁云,会计学,4,女,79,99,83,1,1,1,100.0,82,100,91.6,94,93.28,93.40,10.58,93.04
谢博,电子信息工程,2,女,94,94,98,1,1,1,100.0,99,85,94.6,92,92.78,96.20,2.31,93.04
甘建国,电子信息工程,3,女,89,80,75,1,1,0,66.67,100,77,81.98,92,88.99,77.62,7.09,87.99
陈桂英,会计学,4,女,67,60,73,0,1,1,66.67,100,74,76.83,92,87.45,72.77,6.51,85.93
吴利,金融学,1,女,91,84,74,1,1,1,100.0,73,80,83.15,93,90.04,87.85,8.54,89.06
阎芳,英语,4,女,80,68,79,1,1,1,100.0,79,80,82.45,84,83.54,86.55,6.66,83.38
叶秀云,英语,4,男,69,69,88,1,1,1,100.0,79,91,85.1,82,82.93,88.10,10.97,83.24
彭佳,电子信息工程,4,男,64,97,97,1,1,1,100.0,77,83,85.8,78,80.34,89.80,19.05,81.12
贺金凤,计算机科学与技术,3,男,91,88,87,1,1,1,100.0,83,79,87.1,95,92.63,90.90,2.08,91.84
高晶,会计学,1,女,72,95,87,1,1,1,100.0,83,97,90.4,95,93.62,92.40,11.68,93.16
钟桂英,计算机科学与技术,4,女,100,79,76,1,0,1,66.67,94,71,80.08,64,68.82,76.92,13.08,70.43
温坤,计算机科学与技术,3,女,77,92,90,1,1,1,100.0,70,76,82.4,97,92.62,87.80,8.14,91.16
杨强,会计学,2,女,66,96,87,1,1,1,100.0,87,94,90.15,89,89.34,92.05,15.39,89.46
曲洁,会计学,1,男,72,92,66,1,1,1,100.0,75,80,81.75,81,81.22,86.25,13.61,81.30
江淑珍,英语,4,男,80,64,89,1,1,1,100.0,70,98,85.3,93,90.69,88.50,12.66,89.92
康想,金融学,2,男,92,83,62,1,1,1,100.0,83,89,86.7,100,96.01,89.50,15.39,94.68
邸琴,金融学,3,男,61,99,71,1,1,0,66.67,70,85,75.18,61,65.25,73.02,19.70,66.67
张鑫,会计学,3,男,78,77,65,1,1,1,100.0,74,73,78.75,87,84.52,84.05,7.23,83.70
瞿杰,计算机科学与技术,3,男,93,87,75,1,1,1,100.0,95,80,89.25,92,91.17,91.75,9.17,90.90
杨丽丽,电子信息工程,1,女,97,71,86,1,1,1,100.0,72,92,86.4,82,83.32,90,13.05,83.76
孙莉,金融学,4,女,77,66,68,1,1,1,100.0,80,76,80.1,96,91.23,84.50,5.86,89.64
黄宁,电子信息工程,3,女,64,98,72,1,1,1,100.0,83,74,82.65,93,89.90,86.95,17.78,88.86
黄帆,英语,2,女,83,90,82,1,1,1,100.0,89,87,89.5,70,75.85,91.90,4.36,77.80
兰秀荣,英语,2,女,79,94,71,1,1,1,100.0,76,84,84.4,99,94.62,88.40,11.68,93.16
蒋鑫,会计学,3,男,74,88,88,1,0,1,66.67,79,95,81.83,80,80.55,77.77,8.08,80.73
江刚,会计学,3,男,96,61,95,1,1,1,100.0,93,84,89.45,60,68.84,91.75,19.92,71.78
张欢,电子信息工程,1,女,74,64,85,1,1,1,100.0,79,100,87.05,81,82.82,89.15,10.50,83.42
林红霞,会计学,3,男,66,67,73,1,1,1,100.0,92,74,82.1,76,77.83,85.50,3.79,78.44
邹婷婷,电子信息工程,3,男,67,81,78,1,1,1,100.0,95,93,89.6,75,79.38,90.80,7.37,80.84
陈辉,计算机科学与技术,2,女,72,73,76,1,0,1,66.67,95,80,79.18,69,72.05,75.02,2.08,73.07
吴玉兰,电子信息工程,3,男,98,61,90,1,1,1,100.0,76,87,85.65,70,74.69,89.35,19.47,76.26
卢杰,电子信息工程,3,男,77,74,63,1,1,1,100.0,78,93,84.15,84,84.04,87.05,7.37,84.06
周秀珍,计算机科学与技术,2,女,71,76,69,0,1,1,66.67,73,84,74.18,71,71.95,71.82,3.61,72.27
俞楠,会计学,3,女,91,73,80,1,1,1,100.0,80,72,82.4,100,94.72,87.20,9.07,92.96
张丽丽,金融学,4,男,91,75,72,0,1,0,33.33,73,88,70.72,100,91.22,61.28,10.21,88.29
韦云,金融学,3,女,98,100,67,1,1,0,66.67,71,94,81.08,74,76.12,77.92,18.50,76.83
张斌,会计学,2,男,78,87,81,1,1,1,100.0,100,88,91.6,84,86.28,92.80,4.58,87.04
刘兵,电子信息工程,3,男,60,73,99,1,1,1,100.0,91,94,89.45,82,84.24,90.95,19.86,84.98
齐涛,电子信息工程,2,女,65,87,61,1,1,1,100.0,73,85,80.8,93,89.34,85,14,88.12
刘艳,英语,3,女,94,63,88,1,1,1,100.0,80,74,83.0,83,83,87.60,16.44,83
徐刚,计算机科学与技术,2,男,86,83,68,0,1,1,66.67,93,76,79.28,97,91.68,75.72,9.64,89.91
陈英,英语,2,女,85,87,95,1,1,1,100.0,85,91,90.7,62,70.61,93.10,5.29,73.48
彭红梅,计算机科学与技术,2,男,96,67,66,1,1,1,100.0,81,77,82.4,62,68.12,86.60,17.04,70.16
张凤英,英语,1,女,63,68,88,1,1,1,100.0,70,79,79.15,60,65.74,84.25,13.23,67.66
胡桂香,会计学,1,男,73,89,99,1,1,1,100.0,90,100,93.6,84,86.88,94.60,13.11,87.84
魏晶,金融学,2,男,79,73,77,1,1,1,100.0,72,88,82.9,88,86.47,86.90,3.06,85.96
杨秀珍,金融学,2,女,61,70,98,1,1,1,100.0,85,88,86.15,91,89.54,88.85,19.30,89.06
徐云,电子信息工程,3,女,76,61,86,1,1,1,100.0,99,72,85.05,94,91.32,87.95,12.58,90.42
赵雪,金融学,3,男,64,73,83,1,1,1,100.0,79,74,80.25,68,71.68,84.95,9.50,72.90
王婷,会计学,3,女,66,72,66,1,1,1,100.0,92,83,84.15,79,80.54,86.65,3.46,81.06
马玉梅,英语,1,女,100,85,87,1,1,1,100.0,75,84,86.95,88,87.68,91.05,8.14,87.58
陈欣,英语,4,女,83,76,73,1,1,1,100.0,93,90,88.95,98,95.28,90.65,5.13,94.38
陈军,金融学,2,女,76,62,89,1,1,1,100.0,94,81,86.45,75,78.44,88.95,13.50,79.58
李帆,金融学,3,男,79,74,84,1,1,1,100.0,97,95,91.7,66,73.71,92.50,5,76.28
高刚,金融学,1,男,67,83,63,1,1,1,100.0,88,71,81.05,100,94.32,85.15,10.58,92.42
刘兵,金融学,2,女,100,89,67,1,1,1,100.0,90,90,90.6,62,70.58,92.60,16.80,73.44
牛丽,英语,3,女,87,96,84,0,1,1,66.67,86,87,83.28,69,73.28,79.32,6.24,74.71
田柳,会计学,4,男,74,100,80,1,1,1,100.0,88,87,89.15,66,72.94,91.65,13.61,75.26
李斌,计算机科学与技术,1,女,97,97,75,1,1,1,100.0,86,83,89.15,92,91.14,92.25,12.70,90.86
黄莹,英语,4,女,67,76,71,0,1,1,66.67,87,70,73.98,60,64.19,71.62,4.51,65.59
覃峰,金融学,4,女,80,63,90,0,1,1,66.67,98,86,82.63,83,82.89,77.57,13.65,82.85
吕平,金融学,2,男,67,85,96,1,1,1,100.0,70,94,85.8,79,81.04,89.40,14.64,81.72
林冬梅,计算机科学与技术,2,男,69,65,92,1,1,1,100.0,77,89,84.1,81,81.93,87.50,14.57,82.24
黄红霞,金融学,3,女,68,63,76,1,1,1,100.0,80,70,78.2,61,66.16,83.20,6.56,67.88
孙丹丹,电子信息工程,3,女,73,70,84,1,1,1,100.0,88,93,87.95,71,76.08,89.85,7.37,77.78
萧岩,会计学,3,女,95,72,94,1,1,1,100.0,88,92,91.1,88,88.93,93.10,13,89.24
樊佳,计算机科学与技术,4,男,87,79,83,1,1,1,100.0,82,84,86.4,94,91.72,89.80,4,90.96
蒋婷,英语,4,男,93,95,87,1,1,1,100.0,89,78,89.25,88,88.38,92.55,4.16,88.50
康龙,计算机科学与技术,4,女,95,86,66,1,1,1,100.0,97,83,89.7,66,73.11,91.70,14.84,75.48
解冬梅,会计学,1,女,75,97,79,1,1,1,100.0,83,90,88.35,87,87.40,91.05,11.72,87.54
邵春梅,会计学,1,男,71,70,89,1,1,1,100.0,77,70,79.75,66,70.12,85.05,10.69,71.50
张秀梅,会计学,2,男,63,91,85,0,0,0,0.0,77,82,63.65,92,83.49,47.75,14.74,80.66
吴佳,电子信息工程,3,女,69,77,83,1,1,1,100.0,88,87,86.65,60,68,89.15,7.02,70.66
周敏,会计学,3,男,80,89,64,1,1,1,100.0,80,74,81.8,70,73.54,86.40,12.66,74.72
汪瑜,金融学,4,男,79,75,98,1,1,1,100.0,90,90,90.2,70,76.06,92.20,12.29,78.08
姚丽,金融学,3,男,63,76,91,1,1,1,100.0,95,71,84.5,65,70.85,87.90,14.01,72.80
韩杰,电子信息工程,1,男,64,68,76,1,1,1,100.0,99,74,84.05,85,84.71,86.75,6.11,84.62
鲁旭,计算机科学与技术,3,女,91,78,79,1,1,1,100.0,72,78,82.3,80,80.69,87.30,7.23,80.92
徐佳,电子信息工程,1,女,67,98,96,1,1,0,66.67,99,95,87.93,71,76.08,81.87,17.35,77.77
叶岩,英语,4,女,71,74,83,0,1,1,66.67,94,82,80.13,74,75.84,75.87,6.24,76.45
王云,计算机科学与技术,3,男,60,70,62,1,1,1,100.0,85,70,77.95,67,70.28,82.45,5.29,71.38
沈萍,英语,4,男,79,62,81,1,1,1,100.0,79,95,85.7,79,81.01,88.30,10.44,81.68
谢红梅,电子信息工程,2,男,95,90,94,1,1,1,100.0,90,75,89.15,70,75.74,92.65,2.65,77.66
刘斌,电子信息工程,2,男,97,97,85,1,1,1,100.0,90,99,95.15,73,79.64,96.25,6.93,81.86
杨淑英,计算机科学与技术,1,女,63,62,95,1,1,1,100.0,72,81,80.25,87,84.98,84.95,18.77,84.30
刘莉,金融学,1,男,99,66,96,1,1,1,100.0,93,83,90.1,92,91.43,92.50,18.25,91.24
阙桂珍,计算机科学与技术,4,女,61,71,69,1,1,0,66.67,70,92,73.93,71,71.88,71.07,5.29,72.17
王霞,金融学,2,女,80,87,82,1,1,1,100.0,83,72,83.65,71,74.80,88.15,3.61,76.06
彭玉梅,电子信息工程,1,男,61,92,61,1,1,1,100.0,97,74,84.15,73,76.34,87.05,17.90,77.46
夏志强,英语,2,男,86,100,99,1,1,1,100.0,87,71,88.0,74,78.20,92.20,7.81,79.60
王秀芳,计算机科学与技术,2,男,62,60,79,1,1,1,100.0,81,99,85.1,97,93.43,87.10,10.44,92.24
汪建军,会计学,1,男,84,70,91,1,0,1,66.67,97,91,84.83,71,75.15,79.37,10.69,76.53
马建华,计算机科学与技术,3,男,97,61,70,1,0,1,66.67,93,77,78.63,72,73.99,74.97,18.73,74.65
楚莹,电子信息工程,2,男,65,77,67,1,0,1,66.67,87,85,77.23,70,72.17,73.37,6.43,72.89
胡文,英语,2,女,62,74,91,1,1,1,100.0,70,82,80.7,86,84.41,85.50,14.57,83.88
庞春梅,金融学,4,女,62,75,73,0,1,1,66.67,80,93,77.58,79,78.57,73.62,7,78.43
孔小红,计算机科学与技术,1,女,78,95,86,1,1,0,66.67,78,88,80.73,84,83.02,77.47,8.50,82.69
刘芳,计算机科学与技术,1,女,82,87,95,0,1,1,66.67,87,76,80.48,68,71.74,77.52,6.56,72.99
江辉,金融学,1,男,88,98,87,1,1,1,100.0,99,84,93.05,85,87.42,94.75,6.08,88.22
倪丽华,计算机科学与技术,4,女,88,65,87,1,1,1,100.0,77,90,85.75,83,83.82,89.05,13,84.10
麦莹,会计学,1,男,73,86,100,1,1,1,100.0,96,91,92.65,83,85.90,93.95,13.50,86.86
朱建平,电子信息工程,3,男,69,64,90,1,1,1,100.0,72,78,79.8,67,70.84,84.80,13.80,72.12
刘艳,英语,2,女,90,77,61,0,1,1,66.67,99,85,82.13,66,70.84,77.07,14.53,72.45
覃丽丽,计算机科学与技术,4,男,89,70,81,1,1,1,100.0,79,92,86.75,64,70.82,89.65,9.54,73.10
崔建平,计算机科学与技术,2,男,83,93,99,1,1,1,100.0,92,79,90.25,69,75.38,93.15,8.08,77.50
陈建,金融学,1,女,96,66,96,1,1,1,100.0,76,86,86.3,86,86.09,90.10,17.32,86.12
孙秀华,会计学,3,男,80,71,91,1,1,1,100.0,71,88,83.95,64,69.98,88.05,10.02,71.98
张雷,电子信息工程,4,女,67,75,76,1,1,1,100.0,89,97,88.3,69,74.79,89.70,4.93,76.72
王云,电子信息工程,4,男,67,80,86,1,1,1,100.0,71,97,85.3,60,67.59,88.50,9.71,70.12
吴桂芳,计算机科学与技术,2,男,70,93,89,1,1,1,100.0,93,70,85.95,81,82.48,89.65,12.29,82.98
牛伟,金融学,4,男,76,77,65,1,1,1,100.0,72,71,77.55,72,73.66,83.25,6.66,74.22
欧阳梅,电子信息工程,2,女,68,92,81,1,1,1,100.0,90,87,88.35,97,94.40,90.65,12.01,93.54
周秀荣,金融学,1,女,88,70,94,1,1,1,100.0,83,84,86.95,63,70.18,90.25,12.49,72.58
彭林,计算机科学与技术,3,男,69,73,86,1,1,1,100.0,82,91,86.05,98,94.42,88.75,8.89,93.22
张雷,电子信息工程,2,男,96,69,89,1,1,0,66.67,89,80,80.98,97,92.19,77.42,14.01,90.59
李桂香,电子信息工程,2,男,87,68,81,1,1,1,100.0,97,80,87.85,79,81.66,90.15,9.71,82.54
贾博,英语,3,女,98,78,65,1,1,1,100.0,78,75,82.35,89,87,87.05,16.62,86.34
刘鹏,金融学,3,女,89,83,74,1,1,1,100.0,94,76,87.1,82,83.53,90.10,7.55,84.04
徐桂珍,金融学,4,女,98,73,82,1,0,1,66.67,95,82,82.88,65,70.36,78.52,12.66,72.15
刘刚,计算机科学与技术,2,女,60,90,93,1,1,0,66.67,86,97,83.38,61,67.71,78.42,18.25,69.95
张磊,英语,2,男,92,88,70,1,0,1,66.67,79,86,79.58,84,82.67,76.42,11.72,82.23
罗旭,计算机科学与技术,3,女,87,69,82,1,1,1,100.0,71,83,82.3,67,71.59,86.90,9.29,73.12
谢伟,计算机科学与技术,2,女,100,95,65,1,1,1,100.0,94,92,92.5,95,94.25,93.90,18.93,94
李瑜,计算机科学与技术,2,女,80,78,64,1,1,1,100.0,92,89,87.45,94,92.04,89.35,8.72,91.38
张楠,英语,1,男,99,72,74,1,0,1,66.67,82,93,81.58,62,67.87,77.42,15.04,69.83
陈成,电子信息工程,3,男,79,80,73,1,1,1,100.0,82,75,82.45,82,82.14,86.75,3.79,82.18
萧燕,金融学,4,女,94,75,96,1,1,1,100.0,93,90,92.25,88,89.28,93.95,11.59,89.70
廖杨,金融学,3,女,68,98,96,1,1,1,100.0,91,99,93.7,67,75.01,94.70,16.77,77.68
高莹,英语,2,女,84,61,79,1,1,1,100.0,73,74,79.15,69,72.04,84.45,12.10,73.06
杨桂珍,电子信息工程,1,男,68,70,92,1,1,1,100.0,86,91,87.25,71,75.88,89.55,13.32,77.50
刘敏,会计学,1,女,82,71,62,1,1,1,100.0,90,87,85.75,87,86.62,88.05,10.02,86.50
黄艳,金融学,4,男,63,76,91,1,1,1,100.0,91,100,90.75,81,83.92,91.65,14.01,84.90
陆慧,英语,2,男,77,99,91,1,1,0,66.67,71,93,81.03,76,77.51,77.97,11.14,78.01
谢丹,电子信息工程,3,女,98,75,91,0,1,1,66.67,92,87,84.48,68,72.94,79.92,11.79,74.59
马俊,英语,2,男,63,93,96,1,1,1,100.0,77,89,86.7,68,73.61,90.10,18.25,75.48
杨娟,英语,4,女,100,69,70,1,1,0,66.67,92,86,81.73,80,80.52,77.27,17.62,80.69
庞梅,会计学,1,女,96,80,70,1,1,1,100.0,74,75,81.85,80,80.55,86.95,13.11,80.74
计秀梅,计算机科学与技术,3,男,91,85,72,1,1,1,100.0,88,75,85.55,72,76.06,89.25,9.71,77.42
